threshold,n,win_pct,draw_pct,lose_pct,ev_one_step,ev_rollout
2,90263,38.74123394968038,6.129864950201079,55.12890110011854,-0.16387667150438165,-0.1601209798034632
3,90263,38.74123394968038,6.129864950201079,55.12890110011854,-0.16387667150438165,-0.1601209798034632
4,90263,38.74123394968038,6.129864950201079,55.12890110011854,-0.16387667150438165,-0.15936554845285444
5,90263,38.74123394968038,6.129864950201079,55.12890110011854,-0.16387667150438165,-0.15804025458936663
6,90263,38.74123394968038,6.140943686781959,55.11782236353766,-0.16376588413857285,-0.15623926747393727
7,90263,38.754528433577434,6.23622082137753,55.00925074504504,-0.162547223114676,-0.1530911752323765
8,90263,38.88304177791564,6.3835680179032375,54.73339020418112,-0.15850348426265468,-0.1471467406356979
9,90263,39.24088496947808,6.5918482656237884,54.16726676489814,-0.1492638179542005,-0.13668841330334688
10,90263,39.94881623699633,6.9208867420759335,53.13029702092773,-0.131814807839314,-0.11948123123538991
11,90263,40.948118276591735,7.256572460476606,51.79530926293165,-0.10847190986339918,-0.09684996897953757
12,90263,41.093249725801265,7.706369165660348,51.20038110853839,-0.10107131382737113,-0.08936835968226184
13,90263,41.0810631155623,8.160597365476441,50.75833951896126,-0.09677276403398956,-0.0856936812425911
14,90263,40.85062539467999,8.648061775035174,50.50131283028484,-0.09650687435604843,-0.0853867656182489
15,90263,40.5071845606727,9.152144289465229,50.34067114986207,-0.09833486589189369,-0.08925670679015765
16,90263,40.06181935012131,9.626314215126905,50.311866434751785,-0.10250047084630469,-0.09605939726133632
17,90263,39.244208590452345,8.855234149097637,51.90055726045002,-0.12656348669997675,-0.12104541035640295
18,90263,37.1281699035042,7.911325792406634,54.96050430408916,-0.17832334400584957,-0.17218226183486035
19,90263,33.66828046929528,7.041644970807528,59.290074559897185,-0.25621794090601907,-0.2505174116193789
20,90263,26.718589012109057,4.972136977499086,68.30927401039185,-0.41590684998282795,-0.40967956139281875
21,90263,22.746861947863465,4.466946589410944,72.7861914627256,-0.5003932951486213,-0.49378482877812613
