threshold,n,win_pct,draw_pct,lose_pct,ev_one_step,ev_rollout
2,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
3,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
4,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
5,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
6,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
7,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
8,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
9,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
10,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
11,9737,43.052274827975765,8.236623189894217,48.71110198213002,-0.05658827154154257,-0.048410701448084625
12,9737,43.432268665913526,8.524186094279553,48.043545239806924,-0.04611276573893396,-0.03209246944644141
13,9737,44.33603779398172,9.068501591866077,46.5954606141522,-0.022594228201704838,-0.0006242297422203964
14,9737,45.41439868542672,9.438225326075793,45.14737598849749,0.0026702269692923898,0.028786779808976072
15,9737,46.60573071788025,10.033891342302557,43.36037793981719,0.032453527780630584,0.057472463284379174
16,9737,47.65328129814111,10.62955735852932,41.717161343329565,0.05936119954811544,0.08723490294751977
17,9737,48.85488343432269,10.044161446030605,41.10095511964671,0.07753928314675979,0.10714767125397967
18,9737,48.87542364177878,9.458765533531889,41.66581082468933,0.07209612817089453,0.10121989575844716
19,9737,47.41706891239602,8.780938687480743,43.80199240012324,0.03615076512272774,0.06716487367772414
20,9737,44.45927903871829,7.887439663140598,47.65328129814111,-0.0319400225942282,-0.0005985544829002773
21,9737,42.261476840916096,7.651227277395502,50.08729588168841,-0.07825819040772312,-0.048190857040156104
